version,aim_sigma_sum,contact,fair,familiar,pitch,quality_sum,rating,swings,timing_miss,trials,x
before,30.72,6,3,mixed,pitch.sidearm_sinker,1.20384047294465,3,11,0,96,-0.85
before,30.7042769219773,8,5,fresh,pitch.sidearm_sinker,1.58415114399703,5,11,0,96,-0.85
before,24.0444013528789,7,6,repeat,pitch.sidearm_sinker,2.6657944182866,5,10,0,96,-0.85
before,30.4827949599475,8,5,mixed,pitch.sidearm_sinker,1.63605013790042,5,11,0,96,-0.85
before,28.9197065908828,8,7,fresh,pitch.sidearm_sinker,2.6678074490477,8,11,0,96,-0.85
before,20.0195086467695,9,8,repeat,pitch.sidearm_sinker,4.28968652461884,8,9,0,96,-0.85
before,27.9290850739154,9,7,mixed,pitch.sidearm_sinker,2.85365925269122,8,10,0,96,-0.85
before,26.2656823772555,39,28,fresh,pitch.sidearm_sinker,12.4047431302169,3,76,0,96,-0.35
before,17.2888129934586,59,51,repeat,pitch.sidearm_sinker,23.4140236641614,3,82,0,96,-0.35
before,25.1715879617454,42,31,mixed,pitch.sidearm_sinker,13.5443006761185,3,77,0,96,-0.35
before,23.5727486777664,55,44,fresh,pitch.sidearm_sinker,19.3900116367115,5,77,0,96,-0.35
before,14.5969895984498,75,65,repeat,pitch.sidearm_sinker,33.0866685301529,5,82,0,96,-0.35
before,22.4747126600811,62,46,mixed,pitch.sidearm_sinker,20.0925130370622,5,78,0,96,-0.35
before,19.5328756496067,67,66,fresh,pitch.sidearm_sinker,31.4772465711551,8,77,0,96,-0.35
before,10.5590557592975,82,80,repeat,pitch.sidearm_sinker,48.0904515162869,8,82,0,96,-0.35
before,18.4373766593901,76,68,mixed,pitch.sidearm_sinker,34.036145020186,8,79,0,96,-0.35
before,24.5720931368951,50,35,fresh,pitch.sidearm_sinker,16.1367948923252,3,86,0,96,0.0
before,15.6174290277884,67,56,repeat,pitch.sidearm_sinker,27.0085577901638,3,96,0,96,0.0
before,23.4768502616961,52,39,mixed,pitch.sidearm_sinker,18.0036624230652,3,88,0,96,0.0
before,21.8765773634249,64,50,fresh,pitch.sidearm_sinker,23.5885191770879,5,86,0,96,0.0
before,12.9275398815349,87,73,repeat,pitch.sidearm_sinker,39.6443182847087,5,96,0,96,0.0
before,20.7856118466289,66,56,mixed,pitch.sidearm_sinker,25.636683530669,5,88,0,96,0.0
before,17.8381565982144,81,72,fresh,pitch.sidearm_sinker,36.9858255139777,8,86,0,96,0.0
before,8.89428488192615,96,95,repeat,pitch.sidearm_sinker,58.0118542445507,8,96,0,96,0.0
before,16.7487049651764,82,80,mixed,pitch.sidearm_sinker,40.2878879304041,8,88,0,96,0.0
before,26.2656823772555,41,30,fresh,pitch.sidearm_sinker,12.2015623274168,3,76,0,96,0.35
before,17.2888129934586,58,48,repeat,pitch.sidearm_sinker,22.5271242616907,3,82,0,96,0.35
before,24.8790608007898,42,30,mixed,pitch.sidearm_sinker,13.1740562144638,3,78,0,96,0.35
before,23.5727486777664,56,44,fresh,pitch.sidearm_sinker,19.2576025064122,5,77,0,96,0.35
before,14.5969895984498,74,65,repeat,pitch.sidearm_sinker,32.1838089402371,5,82,0,96,0.35
before,22.1838950119572,60,47,mixed,pitch.sidearm_sinker,20.2076300884146,5,78,0,96,0.35
before,19.5328756496067,71,64,fresh,pitch.sidearm_sinker,31.2700637142185,8,77,0,96,0.35
before,10.5590557592975,81,79,repeat,pitch.sidearm_sinker,47.6669379867293,8,82,0,96,0.35
